timestamp,count,tag
2015-02-16,67725,EXPO2015nightday
2015-02-17,68565,EXPO2015nightday
2015-02-18,68356,EXPO2015nightday
2015-02-19,67961,EXPO2015nightday
2015-02-2,24548,EXPO2015nightday
2015-02-3,34528,EXPO2015nightday
2015-02-4,40186,EXPO2015nightday
2015-02-5,46670,EXPO2015nightday
2015-02-6,53316,EXPO2015nightday
2015-02-9,60514,EXPO2015nightday
2015-01-25,22331,EXPO2015italianlife
2015-01-26,24848,EXPO2015italianlife
2015-01-28,58474,EXPO2015italianlife
2015-01-29,58527,EXPO2015italianlife
2015-01-30,97215,EXPO2015italianlife
2015-01-31,97461,EXPO2015italianlife
2015-02-10,139139,EXPO2015italianlife
2015-02-11,138989,EXPO2015italianlife
2015-02-12,151508,EXPO2015italianlife
2015-02-13,153623,EXPO2015italianlife
2015-02-14,153963,EXPO2015italianlife
