username,photosCount,commentsCount,likesCount
"wandereatlive",0.0,1,33
"agatasaitta",0.0,1,0.0
"martatordin",0.0,1,0.0
"emiliatre",0.0,1,21
"photolabfull",0.0,1,2
"igeairi",0.0,2,30
"seeyouinitaly",0.0,1,1
"bseget",0.0,1,64
"elenaoricelli_",1,2,0.0
"mikiii8888",0.0,2,1
"lagodigarda_gardasee_lakegarda",0.0,5,228
"paola_ilfascinodellacucina",0.0,1,57
"plarqarchitects",0.0,3,9
"destinationshopping",10,3,8
"francescagronchi",0.0,1,2
"aroundpeginasquarehole",0.0,1,35
"klisjehjemmet",0.0,2,2
"marjagrazyas",0.0,1,2
"nadia_sara_e_compani",0.0,1,14
"sheisnoteve",0.0,1,0.0
"amorealcucchiaio",0.0,1,2
"botanica_lab",2,1,38
"maraancorati",0.0,2,113
"chiarettapess",0.0,1,7
"flamant.rose",0.0,1,0.0
"zetabea",0.0,3,41
"mydetoxinbali",0.0,1,1
"mary_micucinounlibro",10,1,19
"pochangace",0.0,1,0.0
"spiccia_",0.0,1,8
"markimark23",0.0,1,2
"idanaimi",0.0,1,3
"sweetcakesweet",0.0,2,49
"rawportland",0.0,1,0.0
"didaspo17",0.0,1,0.0
"miriamgreco75",0.0,2,411
"rosy__56",0.0,2,34
"mokkia71",0.0,1,14
"_dolcivisioni_",0.0,1,15
"letiziavanelli",3,3,7
"julia23here",0.0,1,0.0
"chicksoncaffeine",0.0,1,2
"mignate68",0.0,1,0.0
"silvia_parma",2,2,53
"food.and.beverage",0.0,1,116
"claudiadamb",0.0,5,277
"mehgantyler",0.0,1,0.0
"eatwithlorenzo",0.0,2,43
"my_jewellery_shop_online_",0.0,1,2
"maxbondino",0.0,1,1
"loveisan",0.0,2,51
"atelierdoucebelle",0.0,1,2
"andreacarlolonati",1,1,77
"gr_photo",7,6,2
"y_7hya",0.0,2,2
"cucinaearmonia",43,12,206
"isaevane",0.0,2,53
"belzebuuuu",0.0,2,0.0
"irem2nstunner",0.0,3,0.0
"alanpasotti",0.0,3,1
"kiiiingofhearts_420",0.0,1,0.0
"profcri",3,1,4
"delmiocuortuseilaregina",0.0,1,4
"sandras_little_world",0.0,1,3
"sevgierkan44",0.0,1,7
"fatavinnie",36,1,372
"valy22",0.0,1,34
"eliseteaf",0.0,1,4
"littlepamy81",0.0,1,7
"bryan_divohairconnection",0.0,1,1
"train_with_t",0.0,1,0.0
"silvia_snowdrop",0.0,1,2
"in_cucina_con_amore",0.0,2,23
"dianeolanteigne",0.0,1,20
"marybonarosy",0.0,1,2
"turner_9999",0.0,1,30
"hayley_pollock99",0.0,1,20
"mydesenzano",0.0,1,11
"1popi2",20,14,78
"mbottura67",0.0,1,35
"altro_bologna",21,11,15
"beppe_foto",0.0,1,1
"mercedesgazzano",0.0,1,7
"benegigi",6,2,82
"vatoreid",0.0,1,35
"raffycarty",0.0,3,17
"dof2211",0.0,1,11
"sabrinamellace",0.0,1,25
"mayazetaci",34,62,514
"laura.frescura",0.0,1,41
"ladyshantiii",0.0,1,9
"mammarum",0.0,1,1
"lasilviala",0.0,1,6
"u31sd",0.0,1,0.0
"edersergioerrico",0.0,2,2
"richar66",0.0,1,49
"rossana_world",0.0,1,6
"giada975",0.0,2,4
"su__gar2107",0.0,2,0.0
"anderstrust",0.0,1,0.0
"lalessiuccia",6,1,255
"antomartino85",0.0,1,11
"aricciolina",15,10,16
"filippomundula",0.0,1,34
